Gesamtdaten der Energiegemeinschaft;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17
;;Netzbetreiber;Zeitraum von;Zeitraum bis;Gesamtverbrauch lt. Messung (bei Teilnahme gem. Erzeugung) [KWH];Verbrauch lt. Messung entsprechend dem Teilnahmefaktor je ZP und EC-ID [KWH];Anteil gemeinschaftliche Erzeugung [KWH];Eigendeckung gemeinschaftliche Erzeugung [KWH];Eigendeckung aus erneuerbarer Energie [KWH];Gesamte gemeinschaftliche Erzeugung [KWH];Erzeugung lt. Messung entsprechend dem Teilnahmefaktor und EC-ID [KWH];Gesamt/Überschusserzeugung, Gemeinschaftsüberschuss [KWH];Restüberschuss bei EG und je ZP [KWH];Status Datenübermittlung;Datenqualität;Verprobung  (Soll: Erzeugung lt. Messung entsprechend dem Teilnahmefaktor und EC-ID [KWH] - (Eigendeckung + Restüberschuss bei EG und je ZP [KWH]) = 0);"Achtung: Diese Verprobung ist nur für Zeiträume vor dem 08.04.2024 valide!
Verprobung (Soll: Gesamte Erzeugung - (Eigendeckung + Gesamtüberschuss) = 0)"
;;Alle;2024-06-01 00:00:00;2024-07-01 00:00:00;608.191;608.191;1851.57029;254.403452;254.403452;1720.991;1720.991;0;1468.689013;Vollständig!;L1;-2.101464999999962;1466.587548
;;AT002000;2024-06-01 00:00:00;2024-07-01 00:00:00;608.191;608.191;1851.5702899999999;254.403452;254.403452;1720.991;1720.991;0;1468.689013;Vollständig!;L1;;
;;;;;;;;;;;;;;;;;
Daten Zuweisung an teilnehmende Berechtigte;;;;;;;;;;;;;;;;;
Zählpunkt;Energierichtung;Netzbetreiber;Zeitraum von;Zeitraum bis;Gesamtverbrauch lt. Messung (bei Teilnahme gem. Erzeugung) [KWH];Verbrauch lt. Messung entsprechend dem Teilnahmefaktor je ZP und EC-ID [KWH];Anteil gemeinschaftliche Erzeugung [KWH];Eigendeckung gemeinschaftliche Erzeugung [KWH];Eigendeckung aus erneuerbarer Energie [KWH];Gesamte gemeinschaftliche Erzeugung [KWH];Erzeugung lt. Messung entsprechend dem Teilnahmefaktor und EC-ID [KWH];Gesamt/Überschusserzeugung, Gemeinschaftsüberschuss [KWH];Restüberschuss bei EG und je ZP [KWH];Status Datenübermittlung;Datenqualität;;
AT0020000000000000000000020346624;CONSUMPTION;AT002000;2024-06-21 00:00:00;2024-07-01 00:00:00;129.68;129.68;218.39195;54.677988;54.677988;;;;;Vollständig!;L1;;
AT0020000000000000000000020350277;CONSUMPTION;AT002000;2024-06-01 00:00:00;2024-07-01 00:00:00;339.357;339.357;1415.327071;129.854944;129.854944;;;;;Vollständig!;L1;;
AT0020000000000000000000020351621;CONSUMPTION;AT002000;2024-06-21 00:00:00;2024-07-01 00:00:00;139.154;139.154;217.851269;69.87052;69.87052;;;;;Vollständig!;L1;;
AT0020000000000000000000100179078;GENERATION;AT002000;2024-06-01 00:00:00;2024-07-01 00:00:00;;;;;;1720.991;1720.991;0;1468.689013;Vollständig!;L1;;
